kinase	kinase_group	foreground_set_hits	foreground_set_size	background_set_hits	background_set_size	enrichment_value	enrichment_value_log2	p_value	adjusted_p_value	p_value_log10_abs	adjusted_p_value_log10_abs
MARK2	CAMK	2	29	445	6188	0.9590081363812476	-0.06038503953229652	0.6276564845299494	1.0000000000188458	0.2022779799738288	8.184632939547247e-12
CAMK2B	CAMK	2	29	451	6188	0.9462497132808317	-0.0797071369339176	0.635123609348131	1.0000000000188458	0.19714174300169385	8.184632939547247e-12
AURB	Other	1	29	212	6188	1.006506180871828	0.009356031758264155	0.6369843350345716	1.0000000000188458	0.19587124787139623	8.184632939547247e-12
PAK4	STE	1	29	215	6188	0.9924619085805934	-0.010916363267996833	0.6422200567188147	1.0000000000188458	0.1923161354149713	8.184632939547247e-12
YANK3	AGC	1	29	215	6188	0.9924619085805934	-0.010916363267996833	0.6422200567188147	1.0000000000188458	0.1923161354149713	8.184632939547247e-12
HGK	STE	1	29	218	6188	0.9788041758937045	-0.030907838455462845	0.6473828319857192	1.0000000000188458	0.1888388218823635	8.184632939547247e-12
MEK5	STE	1	29	228	6188	0.9358741681790683	-0.09561352784327817	0.6640777420191224	1.0000000000188458	0.1777810758223946	8.184632939547247e-12
MOK	CMGC	1	29	236	6188	0.9041496201052015	-0.14536656304037793	0.6768816371731233	1.0000000000188458	0.16948726752861998	8.184632939547247e-12
MOS	Other	2	29	487	6188	0.8763010691779367	-0.19050147576087859	0.677613745623929	1.0000000000188458	0.16901779277759435	8.184632939547247e-12
PKG1	AGC	1	29	241	6188	0.8853913292316498	-0.17561284990849804	0.6846433959642376	1.0000000000188458	0.16453557666980684	8.184632939547247e-12
skMLCK	CAMK	1	29	241	6188	0.8853913292316498	-0.17561284990849804	0.6846433959642376	1.0000000000188458	0.16453557666980684	8.184632939547247e-12
BRSK2	CAMK	1	29	249	6188	0.8569450214651709	-0.22272544574661754	0.6966891418537235	1.0000000000188458	0.15696095804553517	8.184632939547247e-12
NEK2	Other	1	29	277	6188	0.7703224200174281	-0.3764656797277247	0.7354489243251385	1.0000000000188458	0.13344748290107517	8.184632939547247e-12
SBK	Other	1	29	281	6188	0.7593569763161124	-0.3971498338994625	0.740579674230874	1.0000000000188458	0.13042821166344318	8.184632939547247e-12
ATR	PIKK	1	29	284	6188	0.751335599805731	-0.41247063318321847	0.7443645493452709	1.0000000000188458	0.12821431849444598	8.184632939547247e-12
CLK1	CMGC	1	29	284	6188	0.751335599805731	-0.41247063318321847	0.7443645493452709	1.0000000000188458	0.12821431849444598	8.184632939547247e-12
CDK4	CMGC	1	29	285	6188	0.7486993345432547	-0.41754162273064055	0.7456142843489021	1.0000000000188458	0.12748578043615458	8.184632939547247e-12
NEK11	Other	1	29	288	6188	0.7409003831417624	-0.4326485151208489	0.7493281970306196	1.0000000000188458	0.12532792470284942	8.184632939547247e-12
SRPK1	CMGC	1	29	292	6188	0.730751062824752	-0.4525480725585537	0.7541987270378514	1.0000000000188458	0.12251420494671175	8.184632939547247e-12
CDK12	CMGC	1	29	298	6188	0.7160379541772738	-0.48189203414069803	0.7613336056270584	1.0000000000188458	0.11842499981882776	8.184632939547247e-12
MEKK1	STE	1	29	303	6188	0.7042221463525663	-0.5058974971514874	0.7671262032487116	1.0000000000188458	0.11513318251020696	8.184632939547247e-12
WNK3	Other	1	29	308	6188	0.6927899686520377	-0.5295100543734377	0.7727829445505381	1.0000000000188458	0.111942471438998	8.184632939547247e-12
CDK14	CMGC	1	29	318	6188	0.6710041205812188	-0.5756064689628918	0.783701091464512	1.0000000000188458	0.10584954838751413	8.184632939547247e-12
BUB1	Other	1	29	328	6188	0.650546677880572	-0.62027551829662	0.794111850437529	1.0000000000188458	0.10011832300527586	8.184632939547247e-12
DYRK3	CMGC	1	29	328	6188	0.650546677880572	-0.62027551829662	0.794111850437529	1.0000000000188458	0.10011832300527586	8.184632939547247e-12
HIPK3	CMGC	1	29	328	6188	0.650546677880572	-0.62027551829662	0.794111850437529	1.0000000000188458	0.10011832300527586	8.184632939547247e-12
LRRK2	TKL	1	29	328	6188	0.650546677880572	-0.62027551829662	0.794111850437529	1.0000000000188458	0.10011832300527586	8.184632939547247e-12
