kinase	kinase_group	foreground_set_hits	foreground_set_size	background_set_hits	background_set_size	enrichment_value	enrichment_value_log2	p_value	adjusted_p_value	p_value_log10_abs	adjusted_p_value_log10_abs
BCKDK	PDHK	156	1982	252	4155	1.2977511892749027	0.37601380983355065	0.005054700210459062	0.02098046799683693	2.296304596908631	1.6781848285267817
AKT2	AGC	38	1982	44	4155	1.8104990367856157	0.8563874092775067	0.005248130168414305	0.021488965419318034	2.279995401772073	1.6677844930007442
PRKX	AGC	86	1982	126	4155	1.4308538753543798	0.5168763456734	0.006069600880788007	0.02452118755838355	2.216839865921493	1.6104585008108878
PIM3	CAMK	93	1982	140	4155	1.3925868531065304	0.47776730863428385	0.007543367382292932	0.030074214695194192	2.122434740458894	1.5218057042373803
PIM1	CAMK	72	1982	103	4155	1.4654218059623996	0.5513159887303128	0.007783048597079928	0.03062680162227556	2.1088502578233914	1.5138983544935685
AURC	Other	90	1982	135	4155	1.3975782038345106	0.48292901375006253	0.007942319652125534	0.03085285711017996	2.100052638002352	1.5107046121905272
P90RSK	AGC	50	1982	66	4155	1.588157049811944	0.66735358488749	0.008921927243991242	0.03421954373328286	2.049541322639119	1.4657257854272554
YANK3	AGC	94	1982	144	4155	1.368461991254625	0.45255536470654373	0.010114243233296972	0.038307696246112286	1.9950666064075977	1.4167139648972362
AURA	Other	139	1982	227	4155	1.2836786585880857	0.36028409990381116	0.01028136154833298	0.038459908014134486	1.987949368436784	1.4149917588131287
HUNK	CAMK	157	1982	261	4155	1.2610332069081502	0.33460626679296107	0.010497456369716829	0.03878938146370975	1.978915921732233	1.4112871456136447
DCAMKL2	CAMK	66	1982	95	4155	1.4564236018907006	0.5424300254987244	0.011547305029468404	0.04215461956540875	1.9375193618669404	1.3751548257407094
PAK1	STE	69	1982	103	4155	1.4043625640472994	0.4899154440661693	0.017259781939068533	0.06225849913735435	1.7629646954839315	1.205801353043508
PAK6	STE	108	1982	175	4155	1.2937581086925185	0.3715679048023586	0.018993042498505114	0.06770461031820059	1.7214054599879187	1.1693817571999063
SMG1	PIKK	173	1982	299	4155	1.2129483073413228	0.2785180679098383	0.020649082746028717	0.07275200083775234	1.6850992353967253	1.1381550581379882
SBK	Other	112	1982	188	4155	1.2488996715116902	0.32065758485118534	0.03323093428400696	0.11573532285119666	1.4784574484087754	0.9365340725250888
WNK3	Other	114	1982	193	4155	1.2382687712730638	0.3083244913678799	0.037225725962727434	0.12817494280348196	1.4291568240383163	0.8921968676861799
SLK	STE	72	1982	116	4155	1.3011935001217858	0.379835520785959	0.045179075480854786	0.15381190865953934	1.3450626604823075	0.8130100386249153
CAMK1G	CAMK	46	1982	69	4155	1.3975782038345106	0.48292901375006253	0.047939707090153626	0.16139701387018388	1.319304623817563	0.7921045047545829
DMPK1	AGC	60	1982	97	4155	1.2967220447949066	0.3748692678926094	0.06557238050182325	0.21611773447619467	1.1832790496712942	0.6653095937408573
PDK1	AGC	85	1982	144	4155	1.2374390346451396	0.3073574491666081	0.06561990617759046	0.21611773447619467	1.182964394897607	0.6653095937408573
P38B	CMGC	143	1982	256	4155	1.1710176746972756	0.22776285124960824	0.06636140971523712	0.2162097542335145	1.1780843968332455	0.6651247168848755
P38D	CMGC	147	1982	264	4155	1.1672954316117787	0.22316973994912964	0.06724654481025598	0.21676279869688894	1.172330025204951	0.6640152503023449
SNRK	CAMK	88	1982	151	4155	1.2217239927559962	0.28891839378343726	0.0738830717989312	0.23564811321132792	1.1314550564154444	0.6277360332019871
PDHK1	PDHK	145	1982	263	4155	1.1557918605855744	0.20888161519385082	0.08221491988244706	0.2594908408789735	1.0850493620872022	0.5858779666244656
